household_id,primary_client_id,member_ids,member_count,total_household_aum,engagement_score,wealth_transfer_flag,next_gen_engaged,member_last_contact
H0002,C0129,C0129|C0137|C0145,3,6160000.0,44.7,False,False,"{""C0129"": ""2026-05-13"", ""C0137"": ""2026-04-14"", ""C0145"": ""2026-04-10""}"
H0004,C0027,C0027,1,13403000.0,54.5,False,False,"{""C0027"": ""2026-05-19""}"
H0006,C0077,C0077,1,860000.0,79.4,False,False,"{""C0077"": ""2026-04-30""}"
H0008,C0046,C0046|C0084,2,1528000.0,68.2,False,False,"{""C0046"": ""2026-05-14"", ""C0084"": ""2026-01-07""}"
H0009,C0030,C0030,1,99000.0,64.9,False,False,"{""C0030"": ""2026-05-23""}"
H0010,C0009,C0009|C0063|C0139,3,3949000.0,78.4,False,False,"{""C0009"": ""2026-05-23"", ""C0063"": ""2026-01-24"", ""C0139"": ""2026-03-15""}"
H0011,C0013,C0013|C0073|C0101|C0147,4,6364000.0,85.5,False,False,"{""C0013"": ""2026-04-25"", ""C0073"": ""2026-02-05"", ""C0101"": ""2025-12-06"", ""C0147"": ""2026-04-24""}"
H0012,C0133,C0133,1,3846000.0,79.1,False,False,"{""C0133"": ""2026-04-10""}"
H0013,C0105,C0036|C0105,2,1063000.0,51.8,True,True,"{""C0036"": ""2026-04-05"", ""C0105"": ""2026-05-09""}"
H0014,C0029,C0015|C0029|C0059|C0067|C0143,5,2657000.0,63.8,False,False,"{""C0015"": ""2026-04-17"", ""C0029"": ""2026-05-28"", ""C0059"": ""2026-01-15"", ""C0067"": ""2026-03-20"", ""C0143"": ""2026-01-27""}"
H0015,C0098,C0098,1,702000.0,73.9,True,False,"{""C0098"": ""2026-05-06""}"
H0016,C0081,C0081,1,308000.0,50.4,False,False,"{""C0081"": ""2026-04-08""}"
H0017,C0044,C0044,1,425000.0,49.3,False,False,"{""C0044"": ""2026-04-16""}"
H0019,C0106,C0106,1,816000.0,76.7,False,False,"{""C0106"": ""2026-04-08""}"
H0020,C0005,C0005|C0107,2,3477000.0,51.5,False,False,"{""C0005"": ""2026-04-10"", ""C0107"": ""2026-01-25""}"
H0022,C0011,C0011|C0085,2,1415000.0,48.0,False,False,"{""C0011"": ""2026-05-18"", ""C0085"": ""2026-01-13""}"
H0023,C0097,C0097,1,400000.0,52.9,False,False,"{""C0097"": ""2026-05-30""}"
H0024,C0128,C0128,1,2408000.0,83.7,False,False,"{""C0128"": ""2026-04-23""}"
H0025,C0032,C0032,1,751000.0,73.0,False,False,"{""C0032"": ""2026-04-21""}"
H0027,C0062,C0062|C0125,2,492000.0,78.4,False,False,"{""C0062"": ""2026-04-27"", ""C0125"": ""2026-02-16""}"
H0029,C0094,C0094,1,650000.0,64.1,False,False,"{""C0094"": ""2026-06-02""}"
H0030,C0112,C0112,1,4557000.0,62.2,False,False,"{""C0112"": ""2026-04-15""}"
H0031,C0116,C0052|C0116|C0131,3,1863000.0,54.5,False,False,"{""C0052"": ""2026-04-11"", ""C0116"": ""2026-05-20"", ""C0131"": ""2026-01-19""}"
H0032,C0042,C0042,1,4366000.0,61.9,False,False,"{""C0042"": ""2026-05-26""}"
H0033,C0040,C0040,1,500000.0,63.0,False,False,"{""C0040"": ""2026-05-18""}"
H0034,C0014,C0014|C0037|C0055,3,29410000.0,55.6,True,False,"{""C0014"": ""2026-05-27"", ""C0037"": ""2025-12-25"", ""C0055"": ""2026-04-01""}"
H0036,C0034,C0034|C0138,2,966000.0,67.9,False,False,"{""C0034"": ""2026-05-01"", ""C0138"": ""2026-03-16""}"
H0037,C0140,C0140,1,762000.0,68.9,False,False,"{""C0140"": ""2026-05-24""}"
H0038,C0050,C0050|C0121,2,688000.0,83.4,False,False,"{""C0050"": ""2026-04-21"", ""C0121"": ""2026-01-07""}"
H0039,C0086,C0086|C0104|C0135,3,21472000.0,63.6,False,False,"{""C0086"": ""2026-04-29"", ""C0104"": ""2026-01-05"", ""C0135"": ""2026-01-30""}"
H0040,C0033,C0033|C0118,2,3737000.0,83.4,False,False,"{""C0033"": ""2026-05-13"", ""C0118"": ""2026-04-21""}"
H0042,C0134,C0134,1,219000.0,62.6,False,False,"{""C0134"": ""2026-04-17""}"
H0044,C0060,C0060|C0090,2,767000.0,46.5,False,False,"{""C0060"": ""2026-04-10"", ""C0090"": ""2026-04-28""}"
H0045,C0028,C0028|C0043|C0076|C0079,4,5582000.0,64.6,False,False,"{""C0028"": ""2026-05-21"", ""C0043"": ""2026-01-27"", ""C0076"": ""2025-12-13"", ""C0079"": ""2026-04-24""}"
H0047,C0080,C0007|C0080,2,787000.0,41.5,False,False,"{""C0007"": ""2026-04-11"", ""C0080"": ""2026-05-11""}"
H0048,C0053,C0053|C0072,2,323000.0,65.0,False,False,"{""C0053"": ""2026-04-09"", ""C0072"": ""2026-01-20""}"
H0049,C0002,C0002|C0021,2,293000.0,87.3,False,False,"{""C0002"": ""2026-04-09"", ""C0021"": ""2026-01-20""}"
H0050,C0025,C0025|C0026|C0078,3,1325000.0,50.9,False,False,"{""C0025"": ""2026-06-04"", ""C0026"": ""2026-01-16"", ""C0078"": ""2026-03-19""}"
H0051,C0064,C0064,1,13119000.0,85.7,False,False,"{""C0064"": ""2026-05-26""}"
