event_id,client_id,event_type,event_date,urgency_level,advisor_aware,action_taken,days_since_event
E0001,C0001,Health event,2019-08-09,high,True,True,2491
E0002,C0001,Child leaving home,2018-11-23,low,False,False,2750
E0003,C0002,Child leaving home,2022-04-23,low,True,True,1503
E0004,C0002,New child / dependent,2022-05-12,medium,False,False,1484
E0005,C0003,Property purchase,2008-12-22,medium,True,True,6373
E0006,C0003,Retirement,2020-10-15,high,False,False,2058
E0007,C0003,Divorce,2019-08-13,high,False,False,2487
E0008,C0004,Property purchase,2023-05-17,medium,True,True,1114
E0009,C0005,Business sale,2025-11-10,high,True,False,206
E0010,C0005,Retirement,2022-11-13,high,False,False,1299
E0011,C0005,Divorce,2022-09-18,high,False,False,1355
E0012,C0006,Business start,2011-07-25,medium,True,True,5428
E0013,C0006,Bereavement,2007-12-11,high,True,True,6750
E0014,C0006,Property purchase,2023-07-13,medium,True,True,1057
E0015,C0006,Divorce,2025-02-15,high,True,False,474
E0016,C0007,Business start,2024-05-10,medium,True,True,755
E0017,C0007,New child / dependent,2023-09-07,medium,True,True,1001
E0018,C0007,Retirement,2023-06-20,high,True,True,1080
E0019,C0007,Bereavement,2023-04-19,high,True,False,1142
E0020,C0007,Property purchase,2026-01-29,medium,True,True,126
E0021,C0008,Child leaving home,2024-11-25,low,True,True,556
E0022,C0008,Inheritance received,2026-03-20,high,True,False,76
E0023,C0008,Health event,2026-04-25,high,True,True,40
E0024,C0009,Job change,2026-03-12,medium,True,False,84
E0025,C0009,Divorce,2026-01-22,high,True,True,133
E0026,C0009,Marriage,2026-04-16,medium,True,True,49
E0027,C0009,Property purchase,2026-05-21,medium,True,True,14
E0028,C0010,Job change,2023-05-03,medium,True,True,1128
E0029,C0010,New child / dependent,2023-04-26,medium,False,False,1135
E0030,C0010,New child / dependent,2025-07-18,medium,True,True,321
E0031,C0010,Business sale,2023-04-25,high,True,True,1136
E0032,C0011,Health event,2025-04-08,high,False,False,422
E0033,C0011,Health event,2025-03-05,high,True,True,456
E0034,C0011,Job change,2023-01-01,medium,True,True,1250
E0035,C0012,Job change,2023-11-10,medium,True,True,937
E0036,C0012,Bereavement,2024-01-03,high,True,True,883
E0037,C0012,Property purchase,2023-05-08,medium,False,False,1123
E0038,C0013,Property purchase,2025-12-31,medium,True,True,155
E0039,C0013,Health event,2025-12-12,high,True,True,174
E0040,C0013,Health event,2026-02-20,high,True,True,104
E0041,C0013,Health event,2026-04-03,high,True,False,62
E0042,C0014,Job change,2017-02-01,medium,True,True,3410
E0043,C0014,Business sale,2024-02-19,high,True,True,836
E0044,C0014,New child / dependent,2014-01-16,medium,True,True,4522
E0045,C0014,New child / dependent,2014-08-15,medium,True,True,4311
E0046,C0014,Bereavement,2016-10-31,high,True,False,3503
E0047,C0015,Job change,2010-07-21,medium,True,True,5797
E0048,C0016,Divorce,2024-02-03,high,False,False,852
E0049,C0016,Child leaving home,2024-06-16,low,True,True,718
E0050,C0016,Health event,2023-06-01,high,False,False,1099
E0051,C0017,New child / dependent,2026-05-05,medium,False,False,30
E0052,C0017,Property purchase,2026-02-13,medium,True,True,111
E0053,C0017,Child leaving home,2024-03-16,low,False,False,810
E0054,C0017,Property purchase,2024-02-02,medium,True,True,853
E0055,C0018,Marriage,2015-10-27,medium,False,False,3873
E0056,C0018,New child / dependent,2019-01-14,medium,True,True,2698
E0057,C0018,Divorce,2005-10-07,high,True,True,7545
E0058,C0018,Business sale,2009-05-27,high,True,False,6217
E0059,C0019,Marriage,2024-05-07,medium,True,True,758
E0060,C0019,Bereavement,2021-09-22,high,False,False,1716
E0061,C0019,New child / dependent,2019-06-25,medium,False,False,2536
E0062,C0019,Health event,2024-04-14,high,True,True,781
E0063,C0019,Health event,2019-03-01,high,False,False,2652
E0064,C0020,Property purchase,2025-07-27,medium,True,False,312
E0065,C0020,New child / dependent,2025-11-08,medium,True,True,208
E0066,C0021,Marriage,2024-07-04,medium,True,True,700
E0067,C0021,Marriage,2022-08-17,medium,False,False,1387
E0068,C0022,Divorce,2013-05-28,high,False,False,4755
E0069,C0022,Marriage,2019-07-21,medium,True,True,2510
E0070,C0022,Retirement,2022-05-22,high,True,False,1474
E0071,C0023,Health event,2026-04-25,high,True,True,40
E0072,C0023,Business start,2024-08-29,medium,False,False,644
E0073,C0023,New child / dependent,2025-11-08,medium,True,True,208
E0074,C0023,Marriage,2026-01-11,medium,True,True,144
E0075,C0024,Business start,2017-09-24,medium,True,False,3175
E0076,C0024,Divorce,2021-02-23,high,True,False,1927
E0077,C0024,Child leaving home,2016-06-30,low,True,False,3626
E0078,C0024,Bereavement,2022-03-09,high,True,True,1548
E0079,C0025,Property purchase,2011-03-20,medium,False,False,5555
E0080,C0025,New child / dependent,2024-03-29,medium,True,True,797
