client_id,advisor_id,score_date,relationship_score,portfolio_score,household_score,book_score,advisor_performance_score,days_since_contact,portfolio_drift_pct,goal_progress_pct,product_gap_count,life_event_urgency,interaction_multiplier,aum_multiplier,nba_score,nba_rank,primary_urgency_reason,recommended_action,nba_scenario_flag,nba_expected_rank,score_validated
C0001,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0002,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0003,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0004,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0005,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0006,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0007,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0008,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0009,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0010,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0011,ADV001,2026-06-04,,,,,,,,,,,,,,,,,S004,top_15,
C0012,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0013,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0014,ADV001,2026-06-04,,,,,,,,,,,,,,,,,S005,top_20,
C0015,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0016,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0017,ADV001,2026-06-04,,,,,,,,,,,,,,,,,S002,top_10,
C0018,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0019,ADV001,2026-06-04,,,,,,,,,,,,,,,,,S003,top_20,
C0020,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0021,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0022,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0023,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0024,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0025,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0026,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0027,ADV001,2026-06-04,,,,,,,,,,,,,,,,,S001,top_5,
C0028,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0029,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0030,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0031,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0032,ADV001,2026-06-04,,,,,,,,,,,,,,,,,S004,top_15,
C0033,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0034,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0035,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0036,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0037,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0038,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0039,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0040,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0041,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0042,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0043,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0044,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0045,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0046,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0047,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0048,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0049,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0050,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0051,ADV001,2026-06-04,,,,,,,,,,,,,,,,,S002,top_10,
C0052,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0053,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0054,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0055,ADV001,2026-06-04,,,,,,,,,,,,,,,,,S005,top_20,
C0056,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0057,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0058,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0059,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0060,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0061,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0062,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0063,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0064,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0065,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0066,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0067,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0068,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0069,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0070,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0071,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0072,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0073,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0074,ADV001,2026-06-04,,,,,,,,,,,,,,,,,S001,top_5,
C0075,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0076,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0077,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0078,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0079,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0080,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0081,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0082,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0083,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0084,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0085,ADV001,2026-06-04,,,,,,,,,,,,,,,,,S004,top_15,
C0086,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0087,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0088,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0089,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0090,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0091,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0092,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0093,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0094,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0095,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0096,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0097,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0098,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0099,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0100,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0101,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0102,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0103,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0104,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
C0105,ADV001,2026-06-04,,,,,,,,,,,,,,,,,,,
