goal_id,client_id,goal_type,target_amount,current_progress_pct,target_date,on_track,last_reviewed_date,priority_rank,years_to_target
G0001,C0001,Income protection,75000.0,83.6,2038-06-01,True,2026-03-02,1,12
G0002,C0001,Business exit,420000.0,76.8,2035-06-02,True,2026-05-24,2,9
G0003,C0001,Education funding,446000.0,31.8,2033-06-02,False,2026-02-12,3,7
G0004,C0002,Income protection,245000.0,85.0,2046-05-30,True,2026-05-15,1,20
G0005,C0002,Retirement income,212000.0,51.7,2034-06-02,True,2026-02-25,2,8
G0006,C0003,Retirement income,175000.0,50.0,2038-06-01,False,2026-03-28,1,12
G0007,C0003,Estate / legacy,341000.0,50.9,2035-06-02,False,2026-04-09,2,9
G0008,C0003,Charitable giving,316000.0,87.2,2034-06-02,True,2026-02-25,3,8
G0009,C0004,Property purchase,1412000.0,48.0,2034-06-02,False,2026-01-21,1,8
G0010,C0005,Property purchase,1066000.0,68.6,2037-06-01,True,2025-12-15,1,11
G0011,C0005,Business exit,4306000.0,29.5,2034-06-02,False,2026-05-13,2,8
G0012,C0005,Emergency fund,4540000.0,39.2,2031-06-03,False,2025-12-09,3,5
G0013,C0005,Education funding,1466000.0,64.4,2040-05-31,True,2026-03-07,4,14
G0014,C0005,Income protection,1155000.0,70.2,2036-06-01,True,2026-05-07,5,10
G0015,C0006,Income protection,178000.0,21.4,2039-06-01,False,2026-02-27,1,13
G0016,C0007,Charitable giving,233000.0,25.0,2036-06-01,True,2026-05-18,1,10
G0017,C0007,Estate / legacy,106000.0,28.9,2046-05-30,True,2026-02-01,2,20
G0018,C0007,Property purchase,57000.0,29.4,2040-05-31,True,2026-05-06,3,14
G0019,C0008,Estate / legacy,1414000.0,54.1,2030-06-03,True,2026-02-20,1,4
G0020,C0008,Income protection,2110000.0,63.5,2040-05-31,True,2026-04-23,2,14
G0021,C0008,Emergency fund,3151000.0,37.7,2029-06-03,True,2025-12-14,3,3
G0022,C0009,Retirement income,350000.0,66.9,2039-06-01,True,2026-01-01,1,13
G0023,C0009,Business exit,712000.0,25.6,2039-06-01,True,2026-01-16,2,13
G0024,C0010,Retirement income,644000.0,77.7,2027-06-04,True,2026-02-27,1,1
G0025,C0010,Business exit,1008000.0,25.3,2034-06-02,False,2026-02-08,2,8
G0026,C0011,Income protection,1121000.0,17.4,2027-09-30,False,2026-03-23,1,20
G0027,C0011,Estate / legacy,670000.0,69.8,2029-06-03,True,2026-05-09,2,3
G0028,C0012,Estate / legacy,1184000.0,42.4,2038-06-01,True,2026-04-06,1,12
G0029,C0012,Income protection,2084000.0,85.3,2043-05-31,True,2025-12-26,2,17
G0030,C0013,Income protection,6940000.0,23.0,2041-05-31,True,2026-03-19,1,15
G0031,C0013,Estate / legacy,2570000.0,58.4,2030-06-03,True,2026-04-14,2,4
G0032,C0013,Charitable giving,4498000.0,41.2,2042-05-31,True,2026-04-06,3,16
G0033,C0013,Education funding,2343000.0,64.8,2033-06-02,True,2026-04-15,4,7
G0034,C0013,Business exit,4842000.0,40.0,2037-06-01,True,2026-04-07,5,11
G0035,C0014,Retirement income,1000000.0,73.9,2034-06-02,True,2026-03-03,1,8
G0036,C0014,Charitable giving,3912000.0,55.5,2038-06-01,True,2026-01-23,2,12
G0037,C0014,Property purchase,5272000.0,80.3,2045-05-30,True,2026-02-16,3,19
G0038,C0014,Estate / legacy,5625000.0,69.4,2033-06-02,True,2026-02-22,4,7
G0039,C0014,Education funding,4901000.0,42.5,2030-06-03,False,2026-03-09,5,4
G0040,C0015,Property purchase,197000.0,25.9,2042-05-31,False,2026-05-19,1,16
G0041,C0016,Estate / legacy,256000.0,82.1,2033-06-02,True,2026-05-14,1,7
G0042,C0016,Income protection,106000.0,24.0,2045-05-30,True,2026-03-10,2,19
G0043,C0017,Estate / legacy,551000.0,23.2,2046-05-30,True,2026-02-27,1,20
G0044,C0018,Estate / legacy,514000.0,49.6,2035-06-02,False,2026-02-15,1,9
G0045,C0018,Charitable giving,95000.0,88.3,2041-05-31,True,2026-03-18,2,15
G0046,C0019,Estate / legacy,1742000.0,80.3,2046-05-30,True,2026-02-05,1,20
G0047,C0019,Business exit,885000.0,77.4,2038-06-01,True,2026-01-28,2,12
G0048,C0019,Charitable giving,643000.0,76.1,2044-05-30,True,2026-02-02,3,18
G0049,C0020,Education funding,1257000.0,65.6,2036-06-01,True,2026-03-07,1,10
