referral_id,referring_client_id,referred_client_id,referral_date,converted,conversion_date
R0001,C0076,C0109,2022-10-22,True,2024-10-02
R0002,C0085,C0038,2010-04-25,True,2024-06-12
R0003,C0070,C0045,2020-08-13,True,2022-09-26
R0004,C0088,C0052,2022-12-26,True,2025-08-05
R0005,C0132,C0014,2022-01-02,True,2024-03-23
R0006,C0132,C0048,2018-08-12,False,
R0007,C0022,C0145,2014-05-30,False,
R0008,C0139,C0146,2024-06-05,False,
R0009,C0139,C0052,2023-05-15,True,2024-01-13
R0010,C0071,C0145,2020-06-18,True,2022-09-12
R0011,C0109,C0114,2024-07-10,True,2024-11-26
R0012,C0061,C0111,2024-03-11,True,2024-12-16
R0013,C0057,C0004,2022-06-26,True,2025-04-10
R0014,C0057,C0055,2014-12-06,False,
R0015,C0057,C0117,2014-12-16,True,2025-07-22
R0016,C0004,C0096,2024-09-10,False,
R0017,C0004,C0016,2024-01-16,False,
R0018,C0028,C0133,2021-08-14,True,2024-10-05
R0019,C0028,C0036,2024-03-18,True,2024-07-21
R0020,C0028,C0114,2013-10-15,False,
R0021,C0039,C0149,2015-05-21,False,
R0022,C0142,C0077,2022-04-16,True,2025-10-06
R0023,C0142,C0022,2007-09-18,False,
R0024,C0142,C0110,2025-09-02,False,
R0025,C0040,C0116,2015-10-09,False,
R0026,C0056,C0010,2024-09-29,True,2025-02-25
R0027,C0037,C0043,2024-01-01,False,
R0028,C0072,C0143,2023-09-22,False,
R0029,C0072,C0149,2025-04-06,True,2025-04-07
R0030,C0072,C0144,2024-12-29,False,
R0031,C0107,C0010,2018-10-27,False,
R0032,C0107,C0044,2018-06-19,False,
R0033,C0124,C0045,2022-10-25,False,
R0034,C0124,C0064,2021-12-07,True,2025-05-31
R0035,C0124,C0147,2022-01-10,True,2022-07-22
R0036,C0140,C0055,2023-05-27,False,
R0037,C0066,C0068,2019-12-05,False,
R0038,C0066,C0048,2023-05-08,False,
R0039,C0066,C0068,2019-10-19,True,2026-05-28
R0040,C0092,C0056,2020-06-19,True,2021-10-31
R0041,C0092,C0140,2015-03-08,True,2019-05-26
R0042,C0092,C0008,2011-04-14,False,
R0043,C0125,C0139,2025-02-19,False,
R0044,C0125,C0056,2018-02-23,False,
R0045,C0045,C0079,2025-07-22,True,2026-04-29
R0046,C0045,C0034,2024-09-12,False,
R0047,C0045,C0092,2024-06-26,False,
R0048,C0067,C0102,2018-07-28,True,2019-08-28
R0049,C0067,C0127,2018-07-05,True,2026-02-17
R0050,C0067,C0077,2015-12-29,True,2018-11-20
R0051,C0137,C0040,2019-07-19,True,2025-07-27
R0052,C0137,C0103,2020-06-23,False,
R0053,C0137,C0043,2017-09-21,False,
R0054,C0003,C0105,2014-05-25,True,2016-06-29
R0055,C0003,C0125,2012-09-19,True,2020-10-31
R0056,C0011,C0140,2023-03-05,False,
R0057,C0011,C0014,2024-05-24,False,
R0058,C0011,C0112,2021-07-05,False,
