snapshot_id,client_id,snapshot_date,aum_value,target_allocation_equity,target_allocation_bonds,target_allocation_cash,actual_allocation_equity,actual_allocation_bonds,actual_allocation_cash,drift_pct,goal_progress_pct,ytd_return,benchmark_return,risk_score
PS0001,C0001,2024-12-11,180078.52,0.75,0.2,0.05,0.72,0.23,0.05,3.0,46.8,0.0794,0.0074,3.7
PS0002,C0001,2025-01-10,182172.78,0.75,0.2,0.05,0.724,0.226,0.05,2.6,48.7,-0.1806,0.0035,3.7
PS0003,C0001,2025-02-09,178546.1,0.75,0.2,0.05,0.794,0.156,0.05,4.4,50.8,0.0642,0.0038,3.7
PS0004,C0001,2025-03-11,179296.44,0.75,0.2,0.05,0.652,0.298,0.05,9.8,60.0,0.1073,-0.0399,3.7
PS0005,C0001,2025-04-10,185141.29,0.75,0.2,0.05,0.684,0.266,0.05,6.6,51.7,0.0645,-0.0162,3.7
PS0006,C0001,2025-05-10,190735.09,0.75,0.2,0.05,0.731,0.219,0.05,1.9,56.3,0.0537,0.0024,3.7
PS0007,C0001,2025-06-09,212222.83,0.75,0.2,0.05,0.686,0.264,0.05,6.4,69.6,0.0419,-0.0116,3.7
PS0008,C0001,2025-07-09,206350.31,0.75,0.2,0.05,0.844,0.106,0.05,9.4,58.9,0.0581,-0.0252,3.7
PS0009,C0001,2025-08-08,198667.04,0.75,0.2,0.05,0.751,0.199,0.05,0.1,64.6,-0.003,0.0185,3.7
PS0010,C0001,2025-09-07,199410.69,0.75,0.2,0.05,0.718,0.232,0.05,3.2,61.8,0.0993,0.0193,3.7
PS0011,C0001,2025-10-07,192293.42,0.75,0.2,0.05,0.752,0.198,0.05,0.2,62.5,-0.0399,-0.0163,3.7
PS0012,C0001,2025-11-06,192881.49,0.75,0.2,0.05,0.689,0.261,0.05,6.1,59.4,0.1051,0.0201,3.7
PS0013,C0001,2025-12-06,196732.26,0.75,0.2,0.05,0.85,0.1,0.05,10.0,69.8,0.0628,-0.0024,3.7
PS0014,C0001,2026-01-05,196791.87,0.75,0.2,0.05,0.762,0.188,0.05,1.2,68.6,-0.1324,-0.002,3.7
PS0015,C0001,2026-02-04,197616.46,0.75,0.2,0.05,0.815,0.135,0.05,6.5,65.5,-0.0396,-0.0049,3.7
PS0016,C0001,2026-03-06,211860.65,0.75,0.2,0.05,0.751,0.199,0.05,0.1,68.9,-0.0056,-0.0017,3.7
PS0017,C0001,2026-04-05,215502.7,0.75,0.2,0.05,0.674,0.276,0.05,7.6,78.6,0.0292,0.021,3.7
PS0018,C0001,2026-05-05,218983.85,0.75,0.2,0.05,0.633,0.317,0.05,11.7,83.5,0.0045,0.0609,3.7
PS0019,C0002,2024-12-11,115659.66,0.55,0.35,0.1,0.562,0.338,0.1,1.2,48.8,0.0783,0.0512,2.1
PS0020,C0002,2025-01-10,120879.56,0.55,0.35,0.1,0.528,0.372,0.1,2.2,48.8,-0.0726,-0.0244,2.1
PS0021,C0002,2025-02-09,125119.33,0.55,0.35,0.1,0.545,0.355,0.1,0.5,55.9,0.0745,-0.027,2.1
PS0022,C0002,2025-03-11,123455.86,0.55,0.35,0.1,0.556,0.344,0.1,0.6,47.8,0.0578,-0.0087,2.1
PS0023,C0002,2025-04-10,117844.12,0.55,0.35,0.1,0.516,0.384,0.1,3.4,60.9,0.0486,-0.0671,2.1
PS0024,C0002,2025-05-10,124130.32,0.55,0.35,0.1,0.523,0.377,0.1,2.7,59.5,0.1763,-0.0239,2.1
PS0025,C0002,2025-06-09,130836.71,0.55,0.35,0.1,0.486,0.414,0.1,6.4,62.4,0.0608,-0.0465,2.1
PS0026,C0002,2025-07-09,123632.14,0.55,0.35,0.1,0.48,0.42,0.1,7.0,58.6,0.024,0.0425,2.1
PS0027,C0002,2025-08-08,126188.2,0.55,0.35,0.1,0.619,0.281,0.1,6.9,59.5,0.081,0.0064,2.1
PS0028,C0002,2025-09-07,120422.85,0.55,0.35,0.1,0.469,0.431,0.1,8.1,55.9,0.0411,-0.0102,2.1
PS0029,C0002,2025-10-07,121187.03,0.55,0.35,0.1,0.595,0.305,0.1,4.5,69.1,-0.0079,-0.0074,2.1
PS0030,C0002,2025-11-06,124887.39,0.55,0.35,0.1,0.597,0.303,0.1,4.7,68.6,0.0819,0.0545,2.1
PS0031,C0002,2025-12-06,129986.45,0.55,0.35,0.1,0.518,0.382,0.1,3.2,73.0,0.0848,-0.0406,2.1
PS0032,C0002,2026-01-05,133516.31,0.55,0.35,0.1,0.63,0.27,0.1,8.0,69.8,0.0685,-0.0458,2.1
PS0033,C0002,2026-02-04,136854.48,0.55,0.35,0.1,0.537,0.363,0.1,1.3,68.7,0.1328,0.0339,2.1
PS0034,C0002,2026-03-06,138859.74,0.55,0.35,0.1,0.551,0.349,0.1,0.1,69.3,0.0583,0.0089,2.1
PS0035,C0002,2026-04-05,134170.48,0.55,0.35,0.1,0.578,0.322,0.1,2.8,68.1,-0.0094,0.0016,2.1
PS0036,C0002,2026-05-05,141274.32,0.55,0.35,0.1,0.531,0.369,0.1,1.9,72.9,-0.0347,0.0482,2.1
PS0037,C0003,2024-12-11,221192.13,0.75,0.2,0.05,0.697,0.253,0.05,5.3,45.4,0.0169,0.0416,5.8
PS0038,C0003,2025-01-10,218676.1,0.75,0.2,0.05,0.668,0.282,0.05,8.2,56.1,0.0649,0.0283,5.8
PS0039,C0003,2025-02-09,223623.86,0.75,0.2,0.05,0.692,0.258,0.05,5.8,57.1,0.0435,0.0224,5.8
PS0040,C0003,2025-03-11,211439.4,0.75,0.2,0.05,0.582,0.368,0.05,16.8,51.7,0.1084,0.025,5.8
PS0041,C0003,2025-04-10,218294.64,0.75,0.2,0.05,0.818,0.132,0.05,6.8,53.6,-0.087,-0.0028,5.8
PS0042,C0003,2025-05-10,222288.9,0.75,0.2,0.05,0.651,0.299,0.05,9.9,53.3,0.0469,-0.0233,5.8
PS0043,C0003,2025-06-09,223634.86,0.75,0.2,0.05,0.706,0.244,0.05,4.4,64.0,0.0951,-0.001,5.8
PS0044,C0003,2025-07-09,232934.27,0.75,0.2,0.05,0.837,0.113,0.05,8.7,60.2,-0.0157,-0.0303,5.8
PS0045,C0003,2025-08-08,240053.32,0.75,0.2,0.05,0.811,0.139,0.05,6.1,58.6,0.0536,0.0351,5.8
PS0046,C0003,2025-09-07,246079.34,0.75,0.2,0.05,0.753,0.197,0.05,0.3,67.9,0.0955,0.0309,5.8
PS0047,C0003,2025-10-07,238462.57,0.75,0.2,0.05,0.754,0.196,0.05,0.4,68.7,0.0231,0.0044,5.8
PS0048,C0003,2025-11-06,232231.01,0.75,0.2,0.05,0.763,0.187,0.05,1.3,70.1,0.073,-0.0274,5.8
PS0049,C0003,2025-12-06,234037.72,0.75,0.2,0.05,0.666,0.284,0.05,8.4,73.5,0.1597,-0.0167,5.8
PS0050,C0003,2026-01-05,237652.86,0.75,0.2,0.05,0.7,0.25,0.05,5.0,78.9,0.028,-0.0432,5.8
PS0051,C0003,2026-02-04,250063.47,0.75,0.2,0.05,0.718,0.232,0.05,3.2,73.2,0.1487,0.0125,5.8
PS0052,C0003,2026-03-06,246298.83,0.75,0.2,0.05,0.774,0.176,0.05,2.4,75.9,-0.0209,0.0105,5.8
PS0053,C0003,2026-04-05,240503.89,0.75,0.2,0.05,0.664,0.286,0.05,8.6,75.1,-0.0705,-0.0158,5.8
PS0054,C0003,2026-05-05,224885.95,0.75,0.2,0.05,0.649,0.301,0.05,10.1,83.6,-0.0724,0.0097,5.8
PS0055,C0004,2024-12-11,979414.85,0.55,0.35,0.1,0.665,0.235,0.1,11.5,49.2,0.0418,-0.0042,6.1
PS0056,C0004,2025-01-10,956411.68,0.55,0.35,0.1,0.482,0.418,0.1,6.8,51.3,0.0566,-0.0335,6.1
PS0057,C0004,2025-02-09,949293.37,0.55,0.35,0.1,0.564,0.336,0.1,1.4,60.8,-0.0153,0.0275,6.1
PS0058,C0004,2025-03-11,999080.47,0.55,0.35,0.1,0.575,0.325,0.1,2.5,53.8,0.1686,-0.0109,6.1
PS0059,C0004,2025-04-10,1042528.53,0.55,0.35,0.1,0.627,0.273,0.1,7.7,61.7,-0.0459,0.0148,6.1
PS0060,C0004,2025-05-10,1030344.8,0.55,0.35,0.1,0.555,0.345,0.1,0.5,64.1,0.1192,-0.0075,6.1
PS0061,C0004,2025-06-09,1020658.16,0.55,0.35,0.1,0.591,0.309,0.1,4.1,54.6,0.2103,0.0474,6.1
PS0062,C0004,2025-07-09,975223.22,0.55,0.35,0.1,0.638,0.262,0.1,8.8,64.9,0.1121,-0.0097,6.1
PS0063,C0004,2025-08-08,984720.58,0.55,0.35,0.1,0.59,0.31,0.1,4.0,56.7,0.0523,0.0185,6.1
