holding_id,client_id,product_type,held,start_date,review_due_date,flagged_as_gap
PH0001,C0001,equity_portfolio,False,,,False
PH0002,C0001,fixed_income,False,,,False
PH0003,C0001,insurance_life,True,2020-03-23,2025-08-11,False
PH0004,C0001,insurance_protection,True,2024-09-21,2025-12-30,False
PH0005,C0001,estate_plan,False,,,False
PH0006,C0001,tax_wrapper_isa,False,,,False
PH0007,C0001,tax_wrapper_pension,True,2022-05-07,2026-05-19,False
PH0008,C0001,mortgage,False,,,False
PH0009,C0001,trust,True,2019-08-01,2025-10-22,False
PH0010,C0001,cash_savings,True,2023-10-15,2025-06-22,False
PH0011,C0002,equity_portfolio,False,,,False
PH0012,C0002,fixed_income,False,,,False
PH0013,C0002,insurance_life,True,2025-03-10,2025-11-07,False
PH0014,C0002,insurance_protection,False,,,True
PH0015,C0002,estate_plan,True,2021-09-10,2026-03-17,False
PH0016,C0002,tax_wrapper_isa,False,,,True
PH0017,C0002,tax_wrapper_pension,True,2023-10-10,2025-09-13,False
PH0018,C0002,mortgage,True,2020-11-24,2025-11-22,False
PH0019,C0002,trust,True,2022-08-08,2025-07-15,False
PH0020,C0002,cash_savings,False,,,False
PH0021,C0003,equity_portfolio,False,,,False
PH0022,C0003,fixed_income,False,,,False
PH0023,C0003,insurance_life,True,2004-06-13,2025-06-09,False
PH0024,C0003,insurance_protection,False,,,True
PH0025,C0003,estate_plan,True,2019-06-17,2026-08-09,False
PH0026,C0003,tax_wrapper_isa,False,,,True
PH0027,C0003,tax_wrapper_pension,True,2020-04-21,2026-01-15,False
PH0028,C0003,mortgage,False,,,False
PH0029,C0003,trust,False,,,False
PH0030,C0003,cash_savings,False,,,False
PH0031,C0004,equity_portfolio,True,2024-10-06,2026-08-18,False
PH0032,C0004,fixed_income,True,2016-07-01,2026-06-15,False
PH0033,C0004,insurance_life,True,2022-09-22,2026-02-05,False
PH0034,C0004,insurance_protection,False,,,False
PH0035,C0004,estate_plan,False,,,False
PH0036,C0004,tax_wrapper_isa,True,2016-07-27,2026-10-23,False
